feature	shannon	simpson	observed_species	pielou
PsO.C16	2.82284966620177	0.875446944237668	140	0.571237136318584
PsO.C17	2.20802487710804	0.781810043034647	121	0.460408947412298
PsO.C18	2.56786257676093	0.890075804709498	97	0.561316898231899
PsO.C19	1.43979134415403	0.479021549442926	187	0.275236369498243
PsO.C20	3.39762270087815	0.936937723827565	213	0.633732054859683
PsO.C21	3.16939427296621	0.850863513228754	250	0.574013711246788
PsO.C22	2.67855892354582	0.843447285253408	181	0.51525641111958
PsO.C23	2.67380180432745	0.84500167179597	148	0.535058680289646
PsO.C24	3.859207851723	0.962590731889853	230	0.709663767755379
PsO.C25	1.48502917107759	0.464107335606814	142	0.299653146451074
PsO.C26	1.23033736106248	0.396337357421217	118	0.257895345827913
PsO.C27	1.44253600414266	0.567468027492216	80	0.329193801043617
PsO.C28	3.49607470891105	0.922342884191051	353	0.595942000362418
PsO.C29	1.25279583839677	0.458632780010174	79	0.286717196473562
PsO.C30	2.46581131782003	0.844122510570909	132	0.504999251846349
PsO.C31	1.5964084467794	0.656138767578887	117	0.33522682468909
PsO.C32	3.40031857008364	0.92827769657206	240	0.620423753077714
PsO.C33	2.85518905945643	0.893777269659364	134	0.582948641865552
PsO.C34	1.48930400110144	0.520107934331079	125	0.308452201354576
PsO.C35	2.66192799072638	0.880146106159966	127	0.54950974089492
PsO.C36	2.4423075771256	0.849609633536462	107	0.522661467741701
PsO.C37	2.41756758271301	0.858755234582277	89	0.538597334151458
PsO.C38	2.47118065725928	0.813997902386033	154	0.490610266230247
PsO.C39	1.6187528821175	0.558566904039968	135	0.330002488185345
PsO.C40	1.94014927456656	0.691716074917619	100	0.421298062006428
PsO.C41	3.11594974158958	0.91894073445167	149	0.622698476577846
PsO.C42	1.92596965851029	0.589942965292467	184	0.369318002757782
PsO.C43	3.30525063808485	0.913478065905701	215	0.615429790794734
PsO.C44	4.16329349164986	0.965457174731217	271	0.743164082156348
PsO.C45	1.36174704575316	0.445244088063111	139	0.27596600249729
PsO.C46	2.50715874359722	0.851625945996812	112	0.531346687152874
PsO.C47	2.91080886063632	0.88953336994002	113	0.615733037411171
PsO.C48	2.65151585314128	0.731425800227269	293	0.466801985723479
PsO.C49	2.86129232990528	0.841728279907023	189	0.545866162881332
PsO.C50	2.62298942293206	0.891715267967064	107	0.561327948412669
PsO.C51	2.86836989966645	0.841997558864133	211	0.535957760487837
PsO.C52	2.97103699777187	0.897534908737506	196	0.562897396057139
PsO.C53	2.87871315184021	0.80139729911746	272	0.513523866486122
PsO.C54	3.91434458962066	0.963526500379832	290	0.690375096548408
PsO.C55	2.41647254635265	0.803172052382913	152	0.480997216459597
PsO.C56	3.10826188140634	0.893789653890693	216	0.578251328705684
PsO.C57	3.53376480641121	0.934766239629389	287	0.624397192480072
PsO.C58	2.70637525740538	0.887977470595034	138	0.549266473848918
PsO.C59	2.31420026821438	0.763692117183719	140	0.468305893122965
PsO.C60	2.45346252089912	0.827366492084121	157	0.48523402843745
PsO.C61	3.22787315430607	0.915647784465983	232	0.592625077004323
PsO.C62	3.63417396698271	0.954152848605666	277	0.646188238742949
PsO.C63	3.34341107158019	0.919523055768652	243	0.608660781618152
PsO.C64	2.96922201945841	0.907720216101698	135	0.605312067839682
PsO.C65	2.87616784330587	0.880061031694498	192	0.547060461262289
PsO.C66	2.2740945615643	0.818561118086057	90	0.505375722124129
PsO.C67	2.63372147730324	0.810665697454762	185	0.504509954024777
PsO.C68	3.67761637963284	0.946894879217331	205	0.690890378572633
PsO.C69	3.57556010276287	0.931156628916662	253	0.646179002950526
PsO.C70	3.17150076083598	0.910107514145652	199	0.599153244684156
PsO.C71	3.64181260053349	0.949739558449026	226	0.671854826326628
PsO.C72	3.51649317473912	0.93767588514945	198	0.664961348269375
PsO.C73	2.2437211938304	0.671710996962795	204	0.421901197496019
