"Sample1","Sample2","BC","jaccard","JSD","Group"
"Control.A18","PsO.C45",0.206873718976893,0.342825791504129,3.37991220869727,"Relatives-Psoriasis"
"Control.A18","PsO.C46",0.95966019416923,0.979414897567039,7.86019517986921,"Relatives-Psoriasis"
"Control.A18","PsO.C47",0.916042247233526,0.956181679768441,7.65901670827056,"Relatives-Psoriasis"
"Control.A18","PsO.C48",0.424094290629304,0.595598610878354,4.58824472067824,"Relatives-Psoriasis"
"Control.A18","PsO.C49",0.923049808118348,0.959985336023644,7.72031459218543,"Relatives-Psoriasis"
"Control.A18","PsO.C50",0.917602798291357,0.957031142329339,7.62713715268724,"Relatives-Psoriasis"
"Control.A18","PsO.C51",0.537200358880478,0.698933428914515,4.94575123641674,"Relatives-Psoriasis"
"Control.A18","PsO.C52",0.933974516502964,0.965860210187038,7.8045021856232,"Relatives-Psoriasis"
"Control.A18","PsO.C53",0.425247801145741,0.59673524955294,3.99847564587045,"Relatives-Psoriasis"
"Control.A18","PsO.C54",0.901907167194828,0.94842396385211,7.65593511141199,"Relatives-Psoriasis"
"Control.A18","PsO.C55",0.964216366483544,0.981782234316417,7.87042234718746,"Relatives-Psoriasis"
"Control.A18","PsO.C56",0.681313787411311,0.810454053862626,5.76137652081544,"Relatives-Psoriasis"
"Control.A18","PsO.C57",0.929513639066988,0.96346936372676,7.76427439513786,"Relatives-Psoriasis"
"Control.A18","PsO.C58",0.91809496413003,0.957298758715464,7.53979449417603,"Relatives-Psoriasis"
"Control.A18","PsO.C59",0.934963685063607,0.966388870531048,7.70963082572368,"Relatives-Psoriasis"
"Control.A18","PsO.C60",0.91567389445906,0.955980970568714,7.58554729579735,"Relatives-Psoriasis"
"Control.A18","PsO.C61",0.912958510711128,0.9544990187704,7.73910393829532,"Relatives-Psoriasis"
"Control.A18","PsO.C62",0.917150218393362,0.956784929625354,7.7602044149457,"Relatives-Psoriasis"
"Control.A18","PsO.C63",0.903755763250906,0.949445071365276,7.52343821604374,"Relatives-Psoriasis"
"Control.A18","PsO.C64",0.908631099604625,0.95212856983505,7.65164564249106,"Relatives-Psoriasis"
"Control.A18","PsO.C65",0.911282604743142,0.95358227242968,7.67815105567277,"Relatives-Psoriasis"
"Control.A18","PsO.C66",0.969388348565809,0.984456264577536,7.9344495003808,"Relatives-Psoriasis"
"Control.A18","PsO.C67",0.519581452827131,0.68384811075506,4.95116194176599,"Relatives-Psoriasis"
"Control.A18","PsO.C68",0.902677044146139,0.948849461261285,7.61197391732426,"Relatives-Psoriasis"
"Control.A18","PsO.C69",0.726393392956594,0.841515492262843,6.08204255980395,"Relatives-Psoriasis"
"Control.A18","PsO.C70",0.712018071453846,0.831788032294776,5.92135412755124,"Relatives-Psoriasis"
"Control.A18","PsO.C71",0.909200901233367,0.952441307403545,7.67923042178386,"Relatives-Psoriasis"
"Control.A18","PsO.C72",0.950861572424515,0.974811935264881,7.84745720601735,"Relatives-Psoriasis"
"Control.A18","PsO.C73",0.392455026363073,0.56368790220553,4.46861451343498,"Relatives-Psoriasis"
"Control.A19","Control.A20",0.770665727344827,0.870481328511923,6.30845799542751,"Relatives-Relatives"
"Control.A19","Control.A21",0.631031788049644,0.773782329287671,5.56259730287893,"Relatives-Relatives"
"Control.A19","Control.A22",0.535486604503181,0.697481310397288,5.32221582358995,"Relatives-Relatives"
"Control.A19","Control.A23",0.753616285909669,0.859499643068995,6.20176123851896,"Relatives-Relatives"
"Control.A19","Control.A24",0.869249101432196,0.930051645621965,7.34754256264667,"Relatives-Relatives"
"Control.A19","Control.A25",0.451177275513308,0.621808628244566,4.78919121933823,"Relatives-Relatives"
"Control.A19","Control.A26",0.888723914791044,0.941083985680741,7.31994528154043,"Relatives-Relatives"
"Control.A19","Control.A27",0.667170643964325,0.800362753962457,6.08210712692662,"Relatives-Relatives"
"Control.A19","Control.A28",0.794898897419916,0.885731111164585,6.70124336368689,"Relatives-Relatives"
"Control.A19","Control.C01",0.942618425163614,0.970461736544297,7.83054936021204,"Relatives-Control"
"Control.A19","Control.C02",0.809467492743163,0.894702442557844,6.82957376031555,"Relatives-Control"
"Control.A19","Control.C03",0.86345266377649,0.926723474720961,7.16409978445054,"Relatives-Control"
"Control.A19","Control.C04",0.971620454935966,0.985605979592581,8.05541633925845,"Relatives-Control"
"Control.A19","Control.C05",0.446556644412612,0.617406371381938,4.99160867162021,"Relatives-Control"
"Control.A19","Control.C06",0.564845268320622,0.721918364397534,5.72612717712578,"Relatives-Control"
"Control.A19","Control.C07",0.932006051628122,0.964806555178966,7.61777542475215,"Relatives-Control"
"Control.A19","Control.C08",0.774959141559576,0.87321349930191,6.60262743360551,"Relatives-Control"
"Control.A19","Control.C09",0.856923979174164,0.922949984797188,7.02737448266972,"Relatives-Control"
"Control.A19","Control.C10",0.909326529896031,0.952510234009629,7.49944103783831,"Relatives-Control"
"Control.A19","Control.C11",0.906946376822997,0.951202810782739,7.44819509756193,"Relatives-Control"
"Control.A19","Control.C12",0.871107438387926,0.931114291479102,7.22557737099071,"Relatives-Control"
"Control.A19","Control.C13",0.889989167451977,0.941792876677523,7.32858572759262,"Relatives-Control"
"Control.A19","Control.C14",0.78616952755339,0.880285454908916,6.51164238353429,"Relatives-Control"
"Control.A19","Control.C15",0.917220970284591,0.956823427764239,7.52842780369726,"Relatives-Control"
"Control.A19","Control.C17",0.87458979011688,0.933099918422525,7.31347118243194,"Relatives-Control"
"Control.A19","Control.C18",0.733237986262118,0.846090371978762,6.10397650031681,"Relatives-Control"
"Control.A19","PsO.A01",0.657529552382063,0.793385012577443,6.0796114121539,"Relatives-Psoriasis"
"Control.A19","PsO.A02",0.540387413923254,0.701625330145911,5.22279039282439,"Relatives-Psoriasis"
"Control.A19","PsO.A03",0.828775048002799,0.906371780288562,7.06134691607801,"Relatives-Psoriasis"
"Control.A19","PsO.A04",0.695757899872174,0.820586358376535,6.16958871743257,"Relatives-Psoriasis"
"Control.A19","PsO.A05",0.896357584495953,0.945346586344582,7.63568740925077,"Relatives-Psoriasis"
"Control.A19","PsO.A06",0.572215821090415,0.727910015170249,5.44704491061257,"Relatives-Psoriasis"
"Control.A19","PsO.A07",0.939125889508208,0.968607447911889,7.72174521454834,"Relatives-Psoriasis"
"Control.A19","PsO.A08",0.835617889767499,0.910448622696022,7.11543322273597,"Relatives-Psoriasis"
"Control.A19","PsO.A09",0.579299399210694,0.733615677306301,5.533088112944,"Relatives-Psoriasis"
"Control.A19","PsO.A10",0.907822411596262,0.951684397958921,7.62257381933156,"Relatives-Psoriasis"
"Control.A19","PsO.A11",0.909855468515205,0.952800338574899,7.49921867804169,"Relatives-Psoriasis"
"Control.A19","PsO.A12",0.76848753593494,0.869090135293113,6.41175810125223,"Relatives-Psoriasis"
"Control.A19","PsO.A13",0.807503840614488,0.893501659548303,6.66830168537116,"Relatives-Psoriasis"
"Control.A19","PsO.A14",0.549055923028531,0.708891028227156,5.0693946194936,"Relatives-Psoriasis"
"Control.A19","PsO.A15",0.991730747995221,0.995848207889996,8.22239800817117,"Relatives-Psoriasis"
"Control.A19","PsO.A16",0.798976667755181,0.888256842988597,6.56119571229607,"Relatives-Psoriasis"
"Control.A19","PsO.A17",0.522443962079741,0.686322748281722,5.08588649517178,"Relatives-Psoriasis"
"Control.A19","PsO.A18",0.917070926114891,0.956741781039279,7.52812635543158,"Relatives-Psoriasis"
"Control.A19","PsO.A19",0.482358396225109,0.650798615845474,4.10525371543424,"Relatives-Psoriasis"
"Control.A19","PsO.A20",0.941891762370596,0.970076479670284,7.77799787361283,"Relatives-Psoriasis"
"Control.A19","PsO.A21",0.884124276375383,0.938498895705789,7.19270902294408,"Relatives-Psoriasis"
"Control.A19","PsO.A22",0.848358703123561,0.917958945620145,7.39075151796761,"Relatives-Psoriasis"
"Control.A19","PsO.A23",0.838116278519834,0.911929553439065,6.90468590240972,"Relatives-Psoriasis"
"Control.A19","PsO.A24",0.466446297958483,0.636158717312523,4.93884621989743,"Relatives-Psoriasis"
"Control.A19","PsO.A25",0.324602954808269,0.490113590083685,3.9750618465695,"Relatives-Psoriasis"
"Control.A19","PsO.A26",0.39701945430255,0.568380709488056,4.64643878102803,"Relatives-Psoriasis"
"Control.A19","PsO.A27",0.843677849146421,0.915211786632924,7.05967556423736,"Relatives-Psoriasis"
"Control.A19","PsO.A28",0.673011950079676,0.804551276573517,5.60709326975555,"Relatives-Psoriasis"
"Control.A19","PsO.C03",0.778383509046839,0.875383183758862,6.55679922462032,"Relatives-Psoriasis"
"Control.A19","PsO.C04",0.518485586419966,0.682898265293865,5.27965179026392,"Relatives-Psoriasis"
"Control.A19","PsO.C05",0.791292826088424,0.883487964183209,6.58709602672988,"Relatives-Psoriasis"
"Control.A19","PsO.C06",0.796014913587594,0.886423500791016,6.67940771165628,"Relatives-Psoriasis"
"Control.A19","PsO.C07",0.51885353017717,0.683217334480761,5.54033039442424,"Relatives-Psoriasis"
"Control.A19","PsO.C08",0.264999557152954,0.418971778534642,2.93276348426094,"Relatives-Psoriasis"
"Control.A19","PsO.C09",0.485425484477668,0.653584430252806,4.97422237742102,"Relatives-Psoriasis"
"Control.A19","PsO.C10",0.78320079850247,0.878421318743465,6.68540575415058,"Relatives-Psoriasis"
"Control.A19","PsO.C11",0.975742076111123,0.987722120117711,8.06444955107199,"Relatives-Psoriasis"
"Control.A19","PsO.C12",0.89003498362817,0.941818528585784,7.36466368306949,"Relatives-Psoriasis"
"Control.A19","PsO.C14",0.566932500494008,0.723620832824988,5.84049547676905,"Relatives-Psoriasis"
"Control.A19","PsO.C15",0.935021391427012,0.966419694965197,7.76905635427335,"Relatives-Psoriasis"
"Control.A19","PsO.C16",0.566823089846569,0.723531703763792,5.30129743982331,"Relatives-Psoriasis"
"Control.A19","PsO.C17",0.740937639151364,0.851193773388162,6.48001503175066,"Relatives-Psoriasis"
"Control.A19","PsO.C18",0.868038711990531,0.929358376160816,7.28149217555872,"Relatives-Psoriasis"
"Control.A19","PsO.C19",0.963287044120849,0.981300260708647,7.91153871660675,"Relatives-Psoriasis"
"Control.A19","PsO.C20",0.75657856946442,0.861422976024466,6.56610019402239,"Relatives-Psoriasis"
"Control.A19","PsO.C21",0.891406921583329,0.942586083841881,7.29828045798931,"Relatives-Psoriasis"
"Control.A19","PsO.C22",0.912096768281858,0.954027833122102,7.52974439326061,"Relatives-Psoriasis"
"Control.A19","PsO.C23",0.788225622832555,0.881572898596547,6.69363482002896,"Relatives-Psoriasis"
"Control.A19","PsO.C24",0.833107975230003,0.908956795221484,6.99801638976998,"Relatives-Psoriasis"
"Control.A19","PsO.C25",0.912544852995559,0.954272890976929,7.54587144913006,"Relatives-Psoriasis"
"Control.A19","PsO.C26",0.902252397260893,0.948614809012802,7.37167827894026,"Relatives-Psoriasis"
"Control.A19","PsO.C27",0.416118254877613,0.587688568301912,4.37531692177078,"Relatives-Psoriasis"
"Control.A19","PsO.C28",0.961876031468199,0.980567595546152,7.96569520819755,"Relatives-Psoriasis"
"Control.A19","PsO.C29",0.866144295530136,0.928271514271174,7.21989301206515,"Relatives-Psoriasis"
