feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Flavonifractor_plautii	Disease	Psoriasis	-0.00129332032449972	0.000653921304418654	56	51	0.0532628948195661	0.659383589655642
s__Faecalicatena_fissicatena	BMI	BMI	-0.00021104118217407	0.000106830650187236	56	23	0.0535327721036511	0.659383589655642
s__GGB2982_SGB3964	Disease	Psoriasis	-3.03941505604143e-05	1.63361032724911e-05	56	12	0.0684666213516989	0.659383589655642
s__Anaerotruncus_rubiinfantis	BMI	BMI	-1.22004293420981e-05	5.97525080985946e-06	56	12	0.0462563554730826	0.659383589655642
s__Butyricimonas_SGB15260	Gender	Male	0.000670323741506406	0.000336167333455847	56	14	0.0514062167257712	0.659383589655642
s__Odoribacter_splanchnicus	BMI	BMI	-0.000881887364421244	0.000461353435525349	56	32	0.0614556987206878	0.659383589655642
s__Cloacibacillus_porcorum	Gender	Male	0.000212027643494051	0.000109818182827883	56	11	0.0589790728936793	0.659383589655642
s__Enterocloster_asparagiformis	BMI	BMI	-0.000155555092986405	8.38330958094832e-05	56	21	0.0691920049623761	0.659383589655642
s__Fusobacterium_varium	Gender	Male	0.00349477518941526	0.00197659886257646	56	12	0.0829147244863514	0.659383589655642
s__GGB13404_SGB14252	Gender	Male	0.000182046368143822	8.30192790997043e-05	56	11	0.032817380728304	0.659383589655642
s__GGB13404_SGB14252	BMI	BMI	-6.82883767766436e-05	3.84060888293141e-05	56	11	0.0812409935095173	0.659383589655642
s__Barnesiella_intestinihominis	Gender	Male	0.00230581125392792	0.0010765807482143	56	18	0.0369149834625539	0.659383589655642
s__Barnesiella_intestinihominis	BMI	BMI	-0.000885048906188447	0.000498044024186124	56	18	0.0814092597801058	0.659383589655642
s__GGB33586_SGB53517	Gender	Male	5.45916708037285e-05	3.10450902469938e-05	56	9	0.0845526660970959	0.659383589655642
s__Fusobacterium_ulcerans	BMI	BMI	9.16268318714044e-05	4.29946324338621e-05	56	6	0.0378262695003649	0.659383589655642
s__Rheinheimera_SGB14999	BMI	BMI	-6.72125863506784e-05	2.92491076215212e-05	56	34	0.0256192287267047	0.659383589655642
s__Collinsella_SGB14861	Gender	Male	9.06062768996883e-05	4.45770691626502e-05	56	12	0.047216502536124	0.659383589655642
s__Parabacteroides_distasonis	Gender	Male	-0.0115549478719938	0.00632080226561914	56	56	0.0732763803255794	0.659383589655642
