ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
k__Bacteria;p__Firmicutes;c__CFGB2840;o__OFGB2840;f__FGB2840;g__GGB9095;s__GGB9095_SGB14026,k__Bacteria,p__Firmicutes,c__CFGB2840,o__OFGB2840,f__FGB2840,g__GGB9095,s__GGB9095_SGB14026,0.0380344751984846,k__Bacteria;p__Firmicutes;c__CFGB2840;o__OFGB2840;f__FGB2840;g__GGB9095;s__GGB9095_SGB14026
k__Bacteria;p__Firmicutes;c__CFGB10325;o__OFGB10325;f__FGB10325;g__GGB4669;s__GGB4669_SGB6458,k__Bacteria,p__Firmicutes,c__CFGB10325,o__OFGB10325,f__FGB10325,g__GGB4669,s__GGB4669_SGB6458,0.0384007980716222,k__Bacteria;p__Firmicutes;c__CFGB10325;o__OFGB10325;f__FGB10325;g__GGB4669;s__GGB4669_SGB6458
k__Bacteria;p__Firmicutes;c__CFGB31455;o__OFGB31455;f__FGB31455;g__GGB4699;s__GGB4699_SGB6503,k__Bacteria,p__Firmicutes,c__CFGB31455,o__OFGB31455,f__FGB31455,g__GGB4699,s__GGB4699_SGB6503,0.0368412981779808,k__Bacteria;p__Firmicutes;c__CFGB31455;o__OFGB31455;f__FGB31455;g__GGB4699;s__GGB4699_SGB6503
k__Bacteria;p__Firmicutes;c__CFGB10314;o__OFGB10314;f__FGB10314;g__GGB4703;s__GGB4703_SGB6510,k__Bacteria,p__Firmicutes,c__CFGB10314,o__OFGB10314,f__FGB10314,g__GGB4703,s__GGB4703_SGB6510,0.0291317655337536,k__Bacteria;p__Firmicutes;c__CFGB10314;o__OFGB10314;f__FGB10314;g__GGB4703;s__GGB4703_SGB6510
k__Bacteria;p__Firmicutes;c__CFGB72926;o__OFGB72926;f__FGB72926;g__GGB3614;s__GGB3614_SGB4886,k__Bacteria,p__Firmicutes,c__CFGB72926,o__OFGB72926,f__FGB72926,g__GGB3614,s__GGB3614_SGB4886,0.0790996726357143,k__Bacteria;p__Firmicutes;c__CFGB72926;o__OFGB72926;f__FGB72926;g__GGB3614;s__GGB3614_SGB4886
k__Bacteria;p__Firmicutes;c__CFGB31626;o__OFGB31626;f__FGB31626;g__GGB4676;s__GGB4676_SGB6465,k__Bacteria,p__Firmicutes,c__CFGB31626,o__OFGB31626,f__FGB31626,g__GGB4676,s__GGB4676_SGB6465,0.0533920846327229,k__Bacteria;p__Firmicutes;c__CFGB31626;o__OFGB31626;f__FGB31626;g__GGB4676;s__GGB4676_SGB6465
k__Bacteria;p__Firmicutes;c__CFGB10021;o__OFGB10021;f__FGB10021;g__GGB9256;s__GGB9256_SGB14202,k__Bacteria,p__Firmicutes,c__CFGB10021,o__OFGB10021,f__FGB10021,g__GGB9256,s__GGB9256_SGB14202,0.035937982090648,k__Bacteria;p__Firmicutes;c__CFGB10021;o__OFGB10021;f__FGB10021;g__GGB9256;s__GGB9256_SGB14202
k__Bacteria;p__Firmicutes;c__CFGB73223;o__OFGB73223;f__FGB73223;g__GGB9249;s__GGB9249_SGB14193,k__Bacteria,p__Firmicutes,c__CFGB73223,o__OFGB73223,f__FGB73223,g__GGB9249,s__GGB9249_SGB14193,0.0448121206480607,k__Bacteria;p__Firmicutes;c__CFGB73223;o__OFGB73223;f__FGB73223;g__GGB9249;s__GGB9249_SGB14193
k__Bacteria;p__Firmicutes;c__CFGB76578;o__OFGB76578;f__FGB76578;g__GGB79648;s__GGB79648_SGB4350,k__Bacteria,p__Firmicutes,c__CFGB76578,o__OFGB76578,f__FGB76578,g__GGB79648,s__GGB79648_SGB4350,0.050789831437484,k__Bacteria;p__Firmicutes;c__CFGB76578;o__OFGB76578;f__FGB76578;g__GGB79648;s__GGB79648_SGB4350
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__GGB4658;s__GGB4658_SGB6445,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__GGB4658,s__GGB4658_SGB6445,0.0354630672769731,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__GGB4658;s__GGB4658_SGB6445
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3593;s__GGB3593_SGB4817,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__GGB3593,s__GGB3593_SGB4817,0.0281289398800597,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3593;s__GGB3593_SGB4817
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB3343;s__GGB3343_SGB4423,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB3343,s__GGB3343_SGB4423,0.0384350600643905,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB3343;s__GGB3343_SGB4423
