"","Control.A01","Control.A02","Control.A03","Control.A04","Control.A05","Control.A06","Control.A07","Control.A08","Control.A09","Control.A10","Control.A11","Control.A12","Control.A13","Control.A14","Control.A15","Control.A16","Control.A17","Control.A18","Control.A19","Control.A20","Control.A21","Control.A22","Control.A23","Control.A24","Control.A25","Control.A26","Control.A27","Control.A28","PsO.A01","PsO.A02","PsO.A03","PsO.A04","PsO.A05","PsO.A06","PsO.A07","PsO.A08","PsO.A09","PsO.A10","PsO.A11","PsO.A12","PsO.A13","PsO.A14","PsO.A15","PsO.A16","PsO.A17","PsO.A18","PsO.A19","PsO.A20","PsO.A21","PsO.A22","PsO.A23","PsO.A24","PsO.A25","PsO.A26","PsO.A27","PsO.A28"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii",0,0,0,0,9107.65731467018,0,230.902503935668,1196.37514030702,0,7282.56335497521,0,0,0,0,0,0,0,0,0,0,0,0,4206.32202003947,0,0,5423.40597870016,13181.1918181836,0,18.3853700853215,0,934.664201946143,60202.220386781,110566.184036288,172.352768393437,42.2870118445497,7259.44747986372,0,546.570206106102,2149.19916872329,539.166577612706,1304.40829326376,0,4.96983637004899,4570.25727403214,0,0,0,1451.35541742704,900.529490949964,0,0,0,0,6789.32554675929,1299.90597567097,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_AF39_11AC",0,0,0,3193.37522599994,0,0,0,0,24.1786885490656,0,3.65326484093924,48616.810727302,0,0,1039.53697414297,65.6313200564565,0,0,0,0,0,0,0,55698.6163348401,9384.60341717461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_C",0,0,7.36953975284891,0,0,0,0,0,0,0,0,0,23.403154013336,36.4949941886988,28.1058359252458,55.0713144024289,54.7065546261899,18.7286401894361,32.1463810319652,0,0,0,0,109.036955246541,20.4589642411739,0,0,6258.81223167995,24.72989416391,37.5337659840078,44.3631253199405,14.2709592131288,6.34987375841538,168.612224171209,227.7155587829,259.546568389364,137.378062868541,121666.863872742,376604.880047445,77.2615026694209,0,72.2401910878846,11.7965346805558,44.143703283569,18.5841641268309,95.7360916234254,66.5506668105042,176.365811903841,0,0,0,0,0,184.404602659047,0,58.5154876435032
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84353742691628,1076.77532610369,153475.19456502,13.2734244402887,14.767122784789,35.4584665754564,0,0,0,0,0,0,0,0,24.176089152568,0,0,0,0,0,26.7661106681377,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_G",0,0,0,0,0,0,15455.5694060816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.553793841677,24.2938883046938,15.9158787342402,15.7175394222116,23410.4110082263,53.4228835700626,0,0,0,0,0,0,0,0,8.21671003878129,0,0,0,0,0,9.7833520351582,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_marseillensis",0,0,0,0,0,0,0,0,0,0,0,0,33.4466899783426,22.1095518615882,25.4110441661211,27.9928641499223,37.3723862662131,29.5440645128786,31.8237786249148,0,0,0,0,31.4688934129257,13.2097249431202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131329.132039411,0,0,0,0,0,0,0,0,3820.30895450961,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea",134.931264345821,197.490954731568,328278.96456786,0,0,0,0,0,0,0,0,0,39.1831308236309,56.2702328494498,42.9903497822861,68.6695339736767,123.801074375387,163470.3364334,46.2460038812865,127.594639943214,142.522400916954,0,0,53.6259388334886,28.9365468647312,42.7932531386417,28.4480503623273,21876.8436101722,214.279916945269,228.269833275437,353067.023818116,2244.63399071828,244.440651121167,80.3535532111043,135.825882044694,173.06488036913,80.3173784828803,38250.5397932997,119.599960474664,69.2398165999182,35.6850561698379,40.5441868484242,722.483135597562,38370.6918594446,26.414163056731,54212.6524453981,42.9670690545037,79.5937351558869,70.9534744456999,31.129770596754,59.5509748014138,57.6590368371261,68.9906556990405,106.779317658776,84.2512943354036,273.484832852559
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_SGB2313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09036106882765,14.7370236278256,6.09025971973477,0,70872.5658487679,72.5994012078094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84918768596388,0,0
"k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806|f__FGB4806|g__GGB51647|s__GGB51647_SGB4348",0,4.22929061871612,6.77930201520655,36.171359690043,0,0,0,5.74324932280897,0,0,0,0,0,0,0,0,2680.6211766833,0,0,53.6250284000973,0.990239015971763,0,0,0,0,0,0,23921.6953532582,381.849994079754,18.1197490957279,3391.90355569716,19.1472430821917,39639.077107382,848.512926200183,3260.01146062595,120459.064288843,19.0640968589983,103.494301539462,6407.88764181623,0,65.6588831456381,80.626282922299,12.6339430066447,68279.3988706042,48.7683266683287,73.3325436516851,56.645555752984,22.3702188143743,0,0,0,0,0,30.8469624277939,120.272402704908,45657.358504164
"k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783|g__GGB80011|s__GGB80011_SGB15267",0,0,0,0,0,0,0,1218.33462301188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891.914662195232,55.4062162553607,0,0,0,0,0,0,2785.98619167711,421.746974712988,746.40904945481,0,0,0,0,0,0,0,0,0,0,0,0,0,428.732006186394,73.1646492518975
